Datetime,Subscribers,Days elapsed
2021/12/31 22:30,1800000,"33 days after 1.7M (1,309 days after debut)"
2021/11/28 21:30,1700000,"78 days after 1.6M (1,276 days after debut)"
2021/9/11 19:30,1600000,"70 days after 1.5M (1,198 days after debut)"
2021/7/3 01:50,1500000,"50 days after 1.4M (1,128 days after debut)"
2021/5/14 02:10,1400000,"64 days after 1.3M (1,078 days after debut)"
2021/3/11 08:20,1300000,"51 days after 1.2M (1,014 days after debut)"
2021/1/19 08:10,1200000,38 days after 1.1M (963 days after debut)
2020/12/12 14:20,1100000,37 days after 1M (925 days after debut)
2020/11/5 22:30,1000000,38 days after 900K (888 days after debut)
2020/9/28 00:50,900000,38 days after 800K (850 days after debut)
2020/8/21,800000,37 days after 700K (812 days after debut)
2020/7/15,700000,48 days after 600K (775 days after debut)
2020/5/28,600000,39 days after 500K (727 days after debut)
2020/4/19,500000,56 days after 400K (688 days after debut)
2020/2/23,400000,72 days after 300K (632 days after debut)
2019/12/13,300000,103 days after 200K (560 days after debut)
2019/9/1,200000,177 days after 100K (457 days after debut)
2019/3/8,100000,280 days after debut
2018/6/1,Debut,-
